單元名稱,教學目標,概念,常見錯誤
大數 (萬與億),認識比萬大的數，理解萬、十萬、百萬、千萬、億的位值，能正確讀、寫及比較大數。,位值、記數單位 (萬、億、兆等初步認識)、讀法、寫法、數的大小比較。,位值觀念混淆，讀寫時漏寫零或多寫零，跨「萬」或「億」的數值比較困難。
多位數乘法,熟練兩、三位數乘以兩、三位數的計算，理解乘法直式的原理，並能應用於解決生活問題。,乘法直式計算步驟、部分積、進位、乘法交換律/結合律/分配律的應用。,進位遺忘或計算錯誤，部分積對位錯誤，計算過程繁複導致失誤。
多位數除法,學習三、四位數除以一、兩位數的除法，理解除法直式的意義，學會驗算，並應用於解題。,除法直式計算步驟、商、餘數、除數、被除數、驗算 (被除數 = 除數 × 商 + 餘數)。,估商不準確或困難，計算乘積或餘數時出錯，餘數大於除數，商的位置放錯。
角度,認識角、角的頂點和邊，認識直角、銳角、鈍角，學習使用量角器測量與畫角。,角、邊、頂點、直角、銳角、鈍角、量角器、度數符號 (°),量角器使用方法錯誤 (中心點或零刻度線未對準)，混淆銳角和鈍角，畫角時方向弄錯。
平面圖形 (四邊形),認識四邊形，分類常見的四邊形 (長方形、正方形、平行四邊形、梯形)，了解其基本性質 (對邊、對角)。,四邊形、邊、角、平行、垂直、長方形、正方形、平行四邊形、梯形、對邊、對角。,混淆不同四邊形的名稱或性質，誤將非平行四邊形視為平行四邊形。
面積,認識面積的意義，認識面積單位 (平方公分 cm²、平方公尺 m²)，學習計算長方形和正方形的面積，解決相關問題。,面積、單位面積、平方公分、平方公尺、長方形面積公式 (長×寬)、正方形面積公式 (邊長×邊長)。,混淆周長與面積，單位使用錯誤 (公分 vs 平方公分)，公式應用不熟練，複合圖形面積計算困難。
分數 (等值與比較),認識等值分數，理解擴分與約分的意義，學會比較同分母或同分子的分數大小，能做簡單的同分母分數加減。,分數、分母、分子、單位分數、等值分數、擴分、約分 (初步)、分數大小比較、同分母分數加減。,認為分子分母同乘或同除不同數也是等值分數，比較分數時只看分子或分母，同分母分數加減時將分母也相加減。
小數 (初步認識與加減),認識一位及二位小數的意義 (十分位、百分位)，理解小數與分數的關係，學會讀寫小數，能做兩位小數的加減計算。,小數點、十分位、百分位、小數的讀法、寫法、小數的大小比較、小數加減直式。,小數點對不齊，位值觀念不清 (如 0.12 比 0.2 大)，加減時忽略位值或進退位錯誤。
時間的計算,學習時間單位的換算 (時、分、秒)，能進行時間的加減計算，解決經過時間的問題。,"時間單位換算 (1時=60分, 1分=60秒)、時間的加減計算 (滿60進位/借位)、經過時間。",進行時間加減時，誤用十進位計算，單位換算時混淆。
資料整理與圖表,學會整理資料並製作長條圖，學習讀取與解釋表格和長條圖中的資料。,資料整理、統計、表格、長條圖 (橫式/直式)、橫軸、縱軸、刻度、資料解讀。,長條圖的標示不清或刻度錯誤，未能正確從圖表中讀取數據，無法根據圖表回答較複雜的問題。
